#         			TK_CUT
(         			TK_LPAR
)         			TK_RPAR
{         			TK_LBRACE
}         			TK_RBRACE
[         			TK_LSQBRAC
]         			TK_RSQBRAC
,         			TK_COMMA
+         			TK_PLUS
-         			TK_MINUS
/         			TK_DIVIDE
*         			TK_MULTIPLY
%         			TK_MOD
=         			TK_COMPARE
>			          TK_GT
<               TK_LT
is			        TK_ASSIGNOP	
and		        	TK_AND
or			        TK_OR
!=			        TK_NOTEQUAL
function        TK_FUNC
float           TK_FLOAT
from            TK_FROM
repeat		      TK_REPEAT
read        		TK_READ
return		      TK_RETURN
main		        TK_MAIN
void		        TK_VOID
int			        TK_INT
protein		      TK_PROTEIN
seq			        TK_SEQ
to			        TK_TO
write		        TK_WRITE
length		      TK_LENGTH
condition	      TK_CONDITION
otherwise     	TK_OTHERWISE
end		        	TK_END
literal		      TK_STRINGLITERAL
identifier	    TK_ID
floatingPoint   TK_FLOATLITERAL
integer         TK_INTEGERLITERAL
newline    			TK_NEWLINE
